node,relation_nodes
420248538,"6543052611,420249525,1334305758,1333372812,1333351604,1333351524,1333351608,1333368243,1333372804,1334208834,1334208590,1334208830,1333313931,1334344602,1334344660,3514461842,3514461670,420248766,3757013030,3757014207,3757014209,3757023671,3757397679,3077384383,3760304056,3760304060,3760304079,3760304086,3760304089,3760304094,3760304102,3760304106,3760304117,3780593557,3787157055,3787157056,420248330,6038212886,6038212896,6038233283,6038239094,6038239099,6038239103,6038265726,6038265731,6038265738,6038265759,6038321759,6038321770,6038321773,6038347308,420248714,6038364696,6038364689,6038459868,6038459871,6038505124,6038714728,6038714736,6038714744,6038714752,6038714757,6038714762,6038714769,6038714775,6040659342,6045230540,6045230565,3757397676,6336785914,6336941213,6525007344,6525007348,6525667452,6537969715,6538032905,6542775338,6542775340,6542775343,6542775347,6542783511,6542783515,6542783518,6542783523,6542826609,6542826611,6543153398,6543153400,6543153404,6543153406,6547822153,6558235390,6561657558"
6543052611,"420248538,5896811079,1333368243,1333372804,1334208834,1334208590,1334208830,3780593557,420248330,6045230540,6045230565,6543153398,6543153400,6543153404,6543153406,6561657558"
420249525,"420248538,6524986723,420249533,420249236,1333351604,1333351524,1333351608,1333313931,3514461842,3514461670,3757397679,3760304056,3760304060,3760304079,3760304086,3760304089,3760304094,3760304102,3760304106,3760304117,3787157055,3787157056,6038714728,6038714736,6038714744,6038714752,6038714757,6038714762,6038714769,6038714775,3757397676,6336785914,6336941213,6525007344,6525007348,6525667452"
420248538,"6543052611,420249525,1334305758,1333372812,1333351604,1333351524,1333351608,1333368243,1333372804,1334208834,1334208590,1334208830,1333313931,1334344602,1334344660,3514461842,3514461670,420248766,3757013030,3757014207,3757014209,3757023671,3757397679,3077384383,3760304056,3760304060,3760304079,3760304086,3760304089,3760304094,3760304102,3760304106,3760304117,3780593557,3787157055,3787157056,420248330,6038212886,6038212896,6038233283,6038239094,6038239099,6038239103,6038265726,6038265731,6038265738,6038265759,6038321759,6038321770,6038321773,6038347308,420248714,6038364696,6038364689,6038459868,6038459871,6038505124,6038714728,6038714736,6038714744,6038714752,6038714757,6038714762,6038714769,6038714775,6040659342,6045230540,6045230565,3757397676,6336785914,6336941213,6525007344,6525007348,6525667452,6537969715,6538032905,6542775338,6542775340,6542775343,6542775347,6542783511,6542783515,6542783518,6542783523,6542826609,6542826611,6543153398,6543153400,6543153404,6543153406,6547822153,6558235390,6561657558"
420248973,"5896858552,1334170379,3277834055,3277836286,3277836306,420249087,6038318115,6038318131,420248985,6048235438,6048235437"
5896858552,"420248973,2991183883,1334170379,3277834055,3277836286,3277836306,420249087,6048235438,6048235437"
1333315259,"420249513,1333303481,1333698651,3512795173,3512790986,420249499,6040964114"
420249513,"1333315259,420249234,420249495,6040964112,6041129179,420249499,6040964114"
420249550,"420249554,1333311063"
420249554,"420249550,420249504,420249234,420249558,3512519228,3510712576"
