wayid,nodes
295386151,"2988146961,4005669944,5421674739,4005669939,4005669938,6525604594"
295386153,"6148986135,4884750565,2990909272,6511793372,1333762716,3500677124,6511793369,3501187387,6511793367,420249430"
295386154,"2990909309,2990909312,4005672020,2990909323,3661978195,6507323983,6507345587,3753033942,6507345585,6509071071,2990909330,2990909936,3753035933"
295386155,"2990909947,2990909944,1333762628,1334349860,6548449232,6509071072,6507345586,3753034535,6507345588,6507323984,1759885587"
295386157,"2990909332,2990909329,1036552154,1007923356"
295386158,"2990909279,6509647191,2990909282,6521401391,2990909286"
295386176,"1333699168,4791479026,1333730155,3787157018,3787157012,4791479030,1759733831,4791411544"
295386177,"1036552368,6511633109,6506843577,2990909968,6506864085,6506843583,2990909969"
295390015,"2990955349,4069855906,4069855909,2990955352"
295390020,"2990955417,2990955418,2990955420,2990955419,2990955415,2990955413,2990955412,2990955410,2990955408,3068691913,2990955406,2990955403,2990955401,2990955399,6308447059,3068691897,2990955397,2990955400,1333698747,2990955404,2990955407,2990955409,2990955411,2990955414,2990955417"
295390022,"3068686937,3068695652,3068695651,3068695650,3068695649,2990955340,3068686940"
295390023,"2990955342,3068686941,1333236010,3068695645,3068695646,3068695648,3068695647"
295390500,"1333698927,2990964262,1334101629,6235806155,2990955417"
295394149,"6132815859,6419825743,6419825744,6132815860,6419825746,6419825745,6419825747,6132815862,6419825748,6132815863,6419825749,6132815864,6419825750,1334198555,6038267960,2991011667"
295394151,"2991011680,6539256090,2991011685,6524321298,6045598032,2991011700,6525016446,6530356440,2991011702"
295394152,"2991011708,6530356439,2991011705,2991011698,6524321299,6524566171,2991011691,2991011692"
295394159,"2991011674,6539256087,6132815826,6132815825,6132815865,6038220782"
295394160,"6539256089,2991011692,2991011693,6038220774,2991011690,2991011688,2991011686,2991011683,2991011679,2991011678,2991011676,2991011674,2991011670,2991011669,6539256088,2991011671,3754596963,2991011673,2991011677,2991011680,2991011682,2991011684,2991011687,6539256089"
295394164,"6132815844,6132815847,6132815838,6132815837,6038220783,2991011657,6132815827"
295408452,"6040711611,2991183898,2991183895,3277836330,6041161916,6041161909,6041161925,2991183863,6548202094,2991183859,6548202088,2991183856,3070253296,3070253297,3070253298,1334356308,6047716732,6548186058,6548186055,6548186063,1334356298,6548146781,420249054"
295408453,"2991816789,2996011853,2996011852,5423824203,6548153437,4076194456,6548138728,6548138725,2996011839,6548146800,5415637171,5415637178,6548146784,3076962096,2991183872,6548146782,6047850356,3070253308,6047850354,6548186064,2991183867,3070253299"
295408459,"2991183779,2991183785,2991183791,3070253054,2991183806,6521531597,2991183826,2991183829,6524195369,2991183840,6524195371,6524195367,6529466750,2996178189,6524195365,2991183850,2996178213,6524846355,6529466747,5432700999,5432700994,2991183853,1334356315,6524195360,6529739230"
295408460,"3757267580,6524321305,6038335498,2991183921,3757267577,2991183923,2991183925,2991183927,2991183929,2991183930,2991183933,6524321304,2991183937,6577679963,6577679962"
295408461,"6040711613,2991183896,2991183887,6524195359,2991183880,6524195361,2991183860,3277836241,6048364318,6529466746,3277836171,2991183849,6524195364,6542521528,3277834048,5432701005,6524195366,6529466749,1261738236,6546130179,6524195368,6524195372,2991183839,6524195370,2991183836,2991183830,2991183828,6521531598,2991183813,1334170001,2991183792,2991183786,2991183773"
295408462,"2623083091,2991183938,2991183936,6045655491,2991183935,2991183934,2991183932,2991183931,2991183928,3757267579,2991183926,2991183924,3757267578,2991183922,2991183920,6524321306,3757267581,2991183918,2991183916,6524321310,2991183915,6524321312,6040711599,2991183913,4073346942,2991183911,6522192719,3277836425,2991183909,2991183907,2991010975"
295408463,"2991011702,6530293282,2991183961,2991183960,2991183958,2991183956,2991183955,6524321303,2991183952,2991183946,2991183942,2623083092"
295408464,"5896811077,6540396760,2991183993,1334208613,2991183991,2991183989,2991183987,2991183985,4069805858,2991183983,2991183981,2991183979,4069805860,3514073876,2991183977,2991183975,3514073877,2991183973,2991183971,6525016444,6525016445,6530392750,2991011708,2991011702"
295408465,"2991011701,2991816816,6530392751,6528564582,6045447953,2991183972,2991183974,2991183976,2991183978,4069805861,2991183980,2991183982,6040972500,2991183984,4069805859,2991183986,2991183988,2991183990,2991183992,4071836015,5896811083,2991183994,5896811078"
295408466,"1333361971,2991183947,1334198551,2991183948,2991183949,2623083097"
295408467,"2623083093,2991183941,2991183943,2991183944,1333361971"
295408468,"2991183950,2991183951,2991183953,2991183954,6045579386,2991183957,2991183959,3514407280,6530393386,6525016448,6530293283,2991011701"
295408474,"2991183816,2991183819,2991183824,3757626555,2991183825,2991183822,3757626556,2991183818,2991183814,2991183811,2991183809,2991183807,2991183803,2991183800,2991183797,2991183794,2991183795,2991183796,2991183799,2991183802,2991183805,2991183808,2991183810,2991183812,2991183816"
295408477,"2991183884,5896858566,5896858560,5896858565,2991183888,5896858564,2991183889,5896858562,2991183892,5896858563,2991183890,5896858561,3277836330"
295408479,"6308461407,2991183765,2991183768,2991183770,2996145056,6521658414,2996145060"
295408480,"2991183818,2991183815,6542521522,2996145143,2996145140,2996145138"
295408481,"2991183833,6539578578,2991183831,6545074167,2991816745,6545074165,2991183823,2991183824"
295449625,"420248763,6530363594,2991819233,2991816831,2991816830,2991816828,6530363591,2991816823,3761464410,6530393387,2991816820,6530432130"
295449627,"2991819237,6530497238,3754596961,6555689171,6512003604,2991819238,6512003606,3754570968,6512003608,3514082735,6530479483"
295479958,"2992135689,2992135713"
295479963,"1333246012,6521491145,6334678146,6525086287,6525079800,6525079807,6525079802,6525079804,6525079808,6525079805,2992135647,6530451262,6525008524,3065559064,2992135640,6525008526,2992135639,2992135635,6524990384,1495033314"
295479964,"1495033308,6062519526,3758567186,6553244455,6524966003,3758567184,2992135377,6524980629,2992135381,6524980627,2992135387,3578535820,2992135396,6524982158"
295479966,"1333246026,2992135734,2992135732,3540416561,2992135728,6518646048,2992135724,6542926569,6542926566,2992135722,6040696806,3070269439,2992135711"
295479968,"6040645617,6521491148,2992135710"
295479971,"6040645616,6332999112,6521491147,6040645617"
295479972,"3540437805,6521491146,6332999111,6040645616"
295853890,"2996145108,2996145106,6542797811,2996145087"
295853891,"2996145118,2996145119,6542521523,2991183801,2991183800"
295853892,"2996145061,2996145062,6542521525,2996145088"
295853894,"2996145137,2996145135,2996145133,2996145124,6542797810,2996145109"
295853895,"2996145077,6521658415,2996145074,2991183777,2991183775,6521658413,6308461408"
295853907,"2996145130,2996145134,2996145138,2996145139,2996145142,2991183793,3757626539,3757626542,2996145137,2996145136,2996145132,2996145129,2996145127,2996145125,2996145121,2996145114,3757626540,2996145110,3757626541,2996145118,2996145123,2996145126,2996145128,2996145130"
295853908,"2996145073,2996145076,2996145079,2996145087,2996145083,2996145082,2996145078,3757626552,2996145077,2996145075,2996145072,2996145070,2996145065,3757626554,2996145060,3757626551,2996145063,3757626553,2996145061,2996145067,2996145069,2996145071,2996145073"
295853910,"2996145101,2996145103,3757626548,3757626550,2996145109,3757626545,3757626546,2996145116,3757626544,2996145115,2996145108,2996145105,2996145099,2996145096,2996145094,3757626549,2996145088,2996145085,3757626547,2996145086,2996145092,2996145090,2996145097,2996145101"
296134434,"420266506,5666190638,2999211800,2999211798,1726781793,2999211795"
296134435,"2999211795,2999211797,2999211799,2999211801"
296370595,"3001623490,3001623491,3001623492,3001623493,3001623447"
296370596,"3001623447,3001623494,3001623495,3001623496,1036552239"
296375903,"6572856731,6509658698,3780796947,6524782667,3079784605,4387190905,4387189301,4086955590,6509067383,3079784568,3780796800,6521845872,6151805324,3780796799"
296375905,"3001685731,3001685729"
296375906,"3001685728,3001685730"
296375907,"3001685730,6568267958,6568267965,6168842464,420266054,1759885238,1759885242,6528701061,6164187556"
296408994,"1036552180,2894725482,3079969138,3079969139,1036552280,3079969140,2180044981,5699505420,3079969141,1036552355,2894725404,2180044985,1036552383,3079969142,345353299,5018670573,2180045032,1038395032,3079969143,3079969144,2164044599,2180044967,6307149889,2164044647,6307149667,2164044600,3079969145,2164044575,3079969146,3079969147,2217366880,2171008190,2171008237,2171008408,2171008259,2171008270,2180045106,2171008287,2171008234,5922526000,5018670572,2171008469,2171008464,4290306752,3079969148,3079969149,2171008269,2180045007,2174824855,2171008396,2171008206"
296408995,"3002053671,5913053285,6151794595,6524786812,6525165050,6525165051,6525165065,3002053673,1036552407"
296422011,"2238039511,2238039524,668685227,4151088565,2238039520,668685228"
300791421,"3048782215,3048782219,6525595553,6150123623,1334208636,3259983365,6525306346,1334204351,6525306348,6525306345,1334204367,6525306344,6525090492,1334204412,6525090493,6525090496,1334204426,6525090494,6525306343,1334204321,6525306342,1334204330,6525306341,6525306338,6525103656,1334204379,6525103657,6540871311,1334204421,6540871310,6540871309,1334344674,6540871308,1334344614,3259983606,2236993358"
